X,Y,fid,full_id,osm_id,osm_type,amenity,operator,name:te,name,healthcare,layer,path
78.4499786,17.435904,"1510",n6549122751,"6549122751",node,hospital,,,Wellness Hospital,hospital,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.4788038,17.5072656,"1511",n6549122919,"6549122919",node,hospital,,,Refracto Eye Hospital,,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.4590373,17.3448357,"1512",n6549133126,"6549133126",node,hospital,,,FATIMA HOSPITAL,,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.482795,17.5246107,"1513",n6549138754,"6549138754",node,hospital,,,JANAPAREDDY HOSPITAL PVT LTD,,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.3706122,17.4951101,"1514",n6549141042,"6549141042",node,hospital,,,ENT CARE HOSPITAL,,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.3415653,17.4944322,"1515",n6549141640,"6549141640",node,hospital,,,NAIDU EYE HOSPITAL,,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.5269153,17.344755,"1516",n6549145505,"6549145505",node,hospital,,,JEEVAN HOSPITAL,hospital,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.4416855,17.4205712,"1517",n6549145506,"6549145506",node,hospital,,,Times Hospital,hospital,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.4472376,17.5162288,"1518",n6549150687,"6549150687",node,hospital,,,MEDIVISION SUPER SPECIALTY HOSPITAL,hospital,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
78.3461505,17.494321,"1519",n6549150740,"6549150740",node,hospital,,,HEALIX HOSPITAL,,hospital_polygon_centroids — centroids,C:\Users\Lakshya\Desktop\project_root\data\raw\hospital_polygon_centroids.gpkg|layername=centroids
